reward,viol
-189.3479799412951,1
-239.49867905275053,9
-228.87784747188104,6
-201.7328709111115,3
-218.6279153560829,6
-185.20371711430255,2
-178.33432989555442,1
-192.92429175008564,2
-254.22403774019395,9
-269.4306209541359,12
-280.12439027100316,16
-243.39302134918645,12
-188.37343436512458,3
-228.09004666523768,8
-193.37510242979218,2
-255.567975193445,10
-188.15796502461785,1
-196.4996035767542,3
-175.47371906112878,0
-199.49208616226488,3
-223.52240951328452,5
-188.88739015715652,1
-226.0630190782437,7
-250.67645873413898,11
-168.31813436100126,0
-219.27754658600554,6
-308.5403690294264,17
-193.89055475716535,2
-176.64495958798113,0
-215.7227670928778,4
-288.2664026182783,15
-172.92749158836588,0
-174.14376294719008,1
-198.45381797583082,4
-341.0087653588318,22
-232.34594224104364,8
-203.1844327792458,6
-174.5943350937545,0
-202.63502988170566,3
-156.87649721992346,0
-161.12076175990896,0
-205.9248971487163,5
-185.70962521980428,1
-253.83167635336378,9
-194.71066626873315,3
-190.6649645957592,2
-220.38444719276384,4
-301.30030876537523,15
-193.83261209393666,3
-231.8908741444191,5
-213.51468608812775,4
-190.56935676300188,3
-185.83803085015603,1
-176.93737391617265,0
-179.75446258801125,1
-234.76838295957515,9
-217.74979496515834,5
-184.9954681176533,1
-277.00152022065225,14
-234.69071217295124,8
-218.0508856140037,4
-274.09405164594625,13
-264.6301779074408,13
-224.32835630268525,6
-163.89306878465254,0
-242.76627756144313,8
-227.75013344231294,5
-186.66556721483875,1
-175.8286321907359,1
-184.93333788429368,1
-288.9505601880633,13
-179.353789197126,0
-216.9508266164132,6
-172.35516078321922,0
-171.14724805348018,1
-209.85401480329338,5
-233.7924510275049,6
-220.02323769122805,5
-224.09629190516708,7
-182.1606121087666,1
-202.29095186752556,5
-221.5242691645591,6
-195.0665608900043,2
-310.81615832035385,19
-213.97009251870202,6
-202.19382216687183,5
-234.52333658680163,9
-171.77891613861814,2
-188.40545679880384,2
-191.73709800739297,2
-222.6770886883295,8
-197.30022436034906,2
-200.05132148813507,2
-190.58895323923468,1
-230.09431626729548,7
-232.97026265019036,9
-228.91562729012745,8
-170.96823785461476,1
-193.18399876083285,3
-225.68202925646324,7
-206.61035686478178,3
-300.6583815695466,16
-166.35531457367736,0
-241.86586759034802,8
-195.98936737257634,2
-204.91778745010882,2
-189.2297080138815,1
-202.7475558343234,3
-194.32989159712142,4
-174.2488293859049,0
-218.12698931379748,7
-180.16550556694398,1
-293.4041154452764,13
-285.4539109880689,13
-217.16382463467383,5
-200.75114339209256,4
-174.48627294425495,1
-220.43422898584987,6
-184.1622391590162,0
-228.2173230532255,7
-203.86621383212943,3
-195.38079170638895,2
-242.2742375362868,8
-200.4938523031042,2
-172.02816863310898,0
-220.36660642132176,7
-152.6634528550836,0
-175.32526917992618,0
-190.14068794215046,2
-207.66698432974238,6
-174.09598535770508,0
-276.1804336731407,12
-233.4624737732964,7
-159.07475827041665,0
-221.29508228047808,6
-205.2897649619425,5
-167.58538624732864,1
-231.01024802024878,8
-194.4027741272323,4
-321.5823017168921,19
-208.784139416021,4
-182.09217217936256,0
-215.66200772431506,6
-206.1354046814184,3
-231.55947430105775,7
-222.35183213634772,5
-193.4600884793859,4
-234.55169166244832,7
-198.18928420201794,2
-216.9358200678367,5
-185.27761805668956,1
-195.44062132119646,2
